id,name,cityName,stateCode,postalCodeNumber,address,phoneNumber,websiteUrl,orgPackageTypeName,scraped_metro,latitude,longitude,companyPageUrl,logoUrl
4475,Amazing Treasure Troves LLC,Miami,FL,33196,"13605 SW 149 avenue Miami,Florida",(786) 719-7332,,Gold,Key West / Marathon,25.655569,-80.597178,/companies/FL/Miami/33196/4475,
155465,Island Antiques LLC,Key West,FL,33040,,(305) 294-0029,,Basic,Key West / Marathon,24.600416,-81.857909,,
154094,Sara's Estate Sales,Marathon,FL,33050,,(305) 240-0074,,Silver,Key West / Marathon,24.766152,-80.968028,/companies/FL/Marathon/33050/154094,https://picturescdn.estatesales.net/orglogos/154094/638107906273337575.jpg
9428,Aah Certified Appraiser & Estate Sales LLC,Key Largo,FL,33037,424 Summerland Road,(305) 304-8650,http://www.appraiserestatesales.com,Bronze,Key West / Marathon,25.187234,-80.379294,/companies/FL/Key-Largo/33037/9428,//s3.amazonaws.com/pictures.estatesales.net/orglogos/9428/635499344190963817.jpg
149054,Auction In The Keys LLC,Summerland Key,FL,33042,716 E Caribbean Dr.,(305) 735-2515,http://www.auctioninthekeys.com,Basic,Key West / Marathon,24.67502,-81.48491,,https://picturescdn.estatesales.net/orglogos/149054/637819180950849282.jpg
19622,Susie's Key West Estate Sales,Key West,FL,33040,,(305) 587-4616,http://www.susieskeywestestatesales.net,Silver,Key West / Marathon,24.600416,-81.857909,/companies/FL/Key-West/33040/19622,https://picturescdn.estatesales.net/orglogos/19622/636137133113318704.jpg
160400,"Redland Realty And Auction, LLC",Miami,FL,33186,"13200 SW 128 St., F1",(305) 387-7777,https://redlandrealtyandauction.com,Gold,Key West / Marathon,25.656028,-80.414856,/companies/FL/Miami/33186/160400,https://picturescdn.estatesales.net/orglogos/160400/638845813601508816.jpg
150701,Caring Transitions Of Naples,Naples,FL,34103,"4851 Tamiami Trail N, Suite 200",(239) 371-4174,http://www.caringtransitionsnaples.com,Basic,Naples,26.191556,-81.804294,,https://picturescdn.estatesales.net/orglogos/150701/638490803561986623.jpg
24092,Premier Liquidation Services Inc,Naples,FL,34106,PO Box 1071,(239) 261-2091,,Basic,Naples,26.1418,-81.795,,
120065,Gills Auction Co & Estate Sales,Naples,FL,34104,,(239) 777-5720,,Basic,Naples,26.15308,-81.73657,,
22307,Gallery 41 Consignment,Naples,FL,34112,3906 Tamiami Trl e,(239) 234-5688,,Basic,Naples,26.114606,-81.743982,,
24614,Paradise Coast Art,Naples,FL,34106,2000 L'Ambiance Circle 202,(239) 777-5177,http://www.paradisecoastart.com,Basic,Naples,26.1418,-81.795,,
23930,Pier&co.,Naples,FL,34107,PO Box 770782,(239) 272-8787,,Basic,Naples,26.2695,-81.7878,,
37025,Longs Antiques,Naples,FL,34108,9535 Bear Lake Cir,(407) 920-1176,,Basic,Naples,26.244492,-81.808154,,
16178,Premiere Gulf Coast Estate Sales,Naples,FL,34112,601 Windsor Square #101,(772) 480-8187,,Basic,Naples,26.114606,-81.743982,,
154994,King's Estate Sales & Auctions Naples Florida,Naples,FL,34102,,(800) 524-1032,https://kingsestatesalesauctionsnaplesfl.com/p,Basic,Naples,26.132305,-81.798729,,https://picturescdn.estatesales.net/orglogos/154994/638168433847328832.jpg
16823,Dovetails LLC / Auctions Neapolitan,Naples,FL,34104,2315 Davis Blvd,(239) 262-7333,http://www.dovetailsLLC.com,Gold,Naples,26.15308,-81.73657,/companies/FL/Naples/34104/16823,https://picturescdn.estatesales.net/orglogos/16823/636644165679970049.jpg
170291,Naples Vintage LLC,Naples,FL,34108,,(239) 200-4553,,Basic,Naples,26.244492,-81.808154,,
168029,King's Road Auctions,Naples,FL,34109,,(239) 331-7153,,Gold,Naples,26.242099,-81.762694,/companies/FL/Naples/34109/168029,
169904,Bluestar Move Management & Estate Sales,Bonita Springs,FL,34134,3521 Bonita Bay Blvd,(239) 387-1147,https://www.bluestarmoving.com/,Gold,Naples,26.347548,-81.844804,/companies/FL/Bonita-Springs/34134/169904,https://picturescdn.estatesales.net/orglogos/169904/638957182341776202.jpg
134114,Allegro Estate Sales & Services,North Port,FL,34286,,(239) 326-3362,https://linktr.ee/allegroestatesalesfl,Gold,Naples,27.099079,-82.138576,/companies/FL/North-Port/34286/134114,https://picturescdn.estatesales.net/orglogos/134114/638528577734564799.jpg
24773,All About You! Estate Sales,Bonita Springs,FL,34135,28128 Herring Way,(847) 489-4471,http://www.AllAboutYouEstateSales.com,Basic,Naples,26.368316,-81.732811,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/24773/635674629919081083.jpg
127346,"CIS Liquidators Naples, FL",Naples,FL,34102,180 Spring Lake Circle,(239) 600-1384,http://www.cisliquidators.com,Basic,Naples,26.132305,-81.798729,,https://picturescdn.estatesales.net/orglogos/127346/636343547764288597.jpg
148967,River Valley Estate Sales/Naples,Naples,FL,34113,4977 Pepper Circle,(952) 688-3011,,Basic,Naples,26.037363,-81.741456,,
36488,Estate Sales By Chesterdales,Naples,FL,34103,4910 Tamiami Trail N,(239) 262-2224,http://www.chesterdales.com,Basic,Naples,26.191556,-81.804294,,//s3.amazonaws.com/pictures.estatesales.net/orglogos/36488/635514128459622000.jpg
135200,Estate/design 239,Naples,FL,34109,,(678) 793-1170,,Basic,Naples,26.242099,-81.762694,,
58601,Pier&co.,Naples,FL,34108,"L'ambiance Circle, #202",(239) 777-5177,http://www.pierandco.com,Basic,Naples,26.244492,-81.808154,,
